Feature,Importance
components_pm2_5,0.7601605407493601
components_o3,0.07461158119488161
components_pm10,0.07422769927157408
wind_speed_10m,0.01240763840278619
dew_point_2m,0.01199711054534199
surface_pressure,0.009662022865803676
month,0.009285628548871768
day,0.005718701581078383
relative_humidity_2m,0.005198379756939417
components_nh3,0.004995054575975671
temperature_2m,0.004929890355672145
components_co,0.0037371794107739988
wind_direction_10m,0.0031788928552201425
components_so2,0.003022673214883266
month_sin,0.0029808963568219225
shortwave_radiation,0.0029289058577147077
components_no2,0.0028219875966049783
day_of_week,0.0017406480126906372
components_no,0.0014148906054744382
month_cos,0.001160781328240243
hour_cos,0.0010659189078547561
hour_sin,0.0009660895200293398
hour,0.0009346849522533303
precipitation,0.0005900296383714831
is_weekend,0.00026217389478178034
