Feature,Coefficient,Absolute
components_co,0.9121403227636387,0.9121403227636387
components_pm2_5,-0.8181687615744726,0.8181687615744726
components_pm10,0.7935096489979772,0.7935096489979772
components_no,-0.5205680041833711,0.5205680041833711
month_cos,0.24818847513186587,0.24818847513186587
components_o3,0.23870676304445052,0.23870676304445052
month_sin,-0.1792471569612863,0.1792471569612863
components_nh3,0.16220543929654757,0.16220543929654757
dew_point_2m,-0.15880605458351374,0.15880605458351374
surface_pressure,0.14990937149752245,0.14990937149752245
temperature_2m,0.10884988826624743,0.10884988826624743
components_no2,-0.10328650326578051,0.10328650326578051
shortwave_radiation,-0.087761062971841,0.087761062971841
month,-0.0822616909035162,0.0822616909035162
precipitation,-0.06970521618560073,0.06970521618560073
wind_speed_10m,0.06952262969977764,0.06952262969977764
components_so2,-0.03819836371661426,0.03819836371661426
is_weekend,-0.034004931051167295,0.034004931051167295
hour_sin,-0.024483961188607954,0.024483961188607954
hour,-0.014340697792276678,0.014340697792276678
wind_direction_10m,0.01155580345937694,0.01155580345937694
day,-0.006518253734491776,0.006518253734491776
relative_humidity_2m,0.005443587622694483,0.005443587622694483
hour_cos,0.0029603441244272443,0.0029603441244272443
day_of_week,0.0027727883013532718,0.0027727883013532718
